Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service
ELDT-26-3HP,428.93,,continue,manual
ELDT-26-6HP,428.93,,continue,manual
ELDT-28-3HP,428.93,,continue,manual
ELDT-28-6HP,428.93,,continue,manual
ELDT-28-9,428.93,,continue,manual
ELDT-32-3HP,428.93,,continue,manual
ELDT-32-6HP,428.93,,continue,manual
ELDT-38-3HP,428.93,,continue,manual
ELDT-38-6HP,428.93,,continue,manual
ELDT-44-3HP,428.93,,continue,manual
ELDT-44-6HP,428.93,,continue,manual
ELDT35-3 HP,428.93,,continue,manual
ELDT35-6 HP,428.93,,continue,manual
ELFR-10-3,428.93,,continue,manual
ELFR-10-6,428.93,,continue,manual
ELFR-16-3,428.93,,continue,manual
ELFR-16-6,428.93,,continue,manual
ELFR-20-3,428.93,,continue,manual
ELFR-20-6,428.93,,continue,manual
ELFR-24-3,428.93,,continue,manual
ELFR-24-6,428.93,,continue,manual
ELFR-24-9,428.93,,continue,manual
ELFR-26-3,428.93,,continue,manual
ELFR-26-6,428.93,,continue,manual
ELFR-28-3,428.93,,continue,manual
ELFR-28-6,428.93,,continue,manual
ELFR-28-9,428.93,,continue,manual
ELFR-32-3,428.93,,continue,manual
ELFR-32-6,428.93,,continue,manual
ELFR-38-3,428.93,,continue,manual
ELFR-38-6 HP,451.50,,continue,manual
ELFR-44-3,428.93,,continue,manual
ELFR-44-6,428.93,,continue,manual
ELFR35-3 HP,428.93,,continue,manual
ELFR35-6 HP,428.93,,continue,manual
GPDT-XL,418.95,,continue,manual
GPDT16-3,339.15,,continue,manual
GPDT16-6,339.15,,continue,manual
GPDT20-3,339.15,,continue,manual
GPDT20-6,339.15,,continue,manual
GPDT24-3,339.15,,continue,manual
GPDT24-6,339.15,,continue,manual
GPDT26-3,339.15,,continue,manual
GPDT26-6,339.15,,continue,manual
GPDT28-3,339.15,,continue,manual
GPDT28-6,339.15,,continue,manual
GPDT32-3,339.15,,continue,manual
GPDT32-6,339.15,,continue,manual
GPDT35-3,339.15,,continue,manual
GPDT35-6,339.15,,continue,manual
GPDT38-3,339.15,,continue,manual
GPDT38-6,339.15,,continue,manual
GPDT44-3,339.15,,continue,manual
GPDT44-6,339.15,,continue,manual
GPFR16-3,339.15,,continue,manual
GPFR16-6,339.15,,continue,manual
GPFR20-3,339.15,,continue,manual
GPFR20-6,339.15,,continue,manual
GPFR24-3,339.15,,continue,manual
GPFR24-6,339.15,,continue,manual
GPFR26-3,339.15,,continue,manual
GPFR26-6,339.15,,continue,manual
GPFR28-3,339.15,,continue,manual
GPFR28-6,339.15,,continue,manual
GPFR32-3,339.15,,continue,manual
GPFR32-6,339.15,,continue,manual
GPFR35-3,339.15,,continue,manual
GPFR35-6,339.15,,continue,manual
GPFR38-3,339.15,,continue,manual
GPFR38-6,339.15,,continue,manual
GPFR44-3,339.15,,continue,manual
GPFR44-6,339.15,,continue,manual
PO840,36.39,,continue,manual
SL108,22.05,,continue,manual
